smiles,Respiratory toxicity,group
OC[C@H]1O[C@](O)(CO)[C@@H](O)[C@@H]1O[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O,0,test
OCCOCCO,0,test
NCCC(=O)N[C@H](Cc1cnc[nH]1)C(=O)O,0,test
CC(=O)OCC1=C(C(=O)O)N2C(=O)[C@H](NC(=O)CSc3ccncc3)[C@H]2SC1,0,test
O=C(OC1C(OC(=O)c2cccnc2)C(OC(=O)c2cccnc2)C(OC(=O)c2cccnc2)C(OC(=O)c2cccnc2)C1OC(=O)c1cccnc1)c1cccnc1,0,test
O=C(/C=C/c1ccc(O)cc1)C1=C(O)C(O)([C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)C2=C(C1=O)C1OC(CO)C(O)C(O)C1O2,0,test
CC(=O)NCc1c(I)c(NC(C)=O)c(I)c(C(=O)O)c1I,0,test
Cc1ccc(N2C(=O)/C(=C/c3ccc([N+](=O)[O-])cc3)NC2=S)cc1,0,test
COc1c(O)cc2occ(-c3ccc(O)cc3)c(=O)c2c1O,0,test
CC[C@H]1C[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@]2(C)[C@H]1O,0,test
CCOC(=O)c1ccccc1C(=O)OCC,0,test
N=c1ccn2c(n1)O[C@H]1[C@H](O)[C@@H](CO)O[C@H]12,0,test
Cc1ccc(/C=C2\NC(=S)N(c3ccc(Br)cc3)C2=O)cc1C,0,test
Cc1ccc(C(=O)CCN2CCN(c3ccccc3)CC2)cc1,0,test
NC(=O)c1ccccc1,0,test
Cn1nc(S(N)(=O)=O)s/c1=N/C(=O)c1ccc(Br)cc1,0,test
NC(=O)OC[C@@H](O)COc1ccc2c(c1)CCCC2,0,test
C[C@@H](CO[N+](=O)[O-])O[N+](=O)[O-],0,test
CCCCOCC(O)COCCCC,0,test
CCOC(=O)c1ccc(NC(=O)c2ccc(/N=C3/C(=O)N(C)c4ccc(Cl)cc43)cc2)cc1,0,test
C=C(C)C(=O)N(C)[C@@H](C)[C@@H](O)c1ccccc1,0,test
CCCOC(=O)C[C@H]1NS(=O)(=O)c2ccccc21,0,test
COc1ccc(/C=C2\NC(=S)N(c3ccc(Br)cc3)C2=O)cc1OC,0,test
O=C(COc1cccc2ccccc12)N1CC1,0,test
CC(=O)CCc1ccc(-n2cc3ccccc3n2)cc1,0,test
C1COCCO1,0,test
O=C1CC(c2ccc(OCOc3ccc(C4CC(=O)NC4=O)cc3)cc2)C(=O)N1,0,test
CSc1nn2c(=O)c3c(nc2s1)sc1ccccc13,0,test
O=c1c2cc(-c3ccccc3)sc2nc2scc(-c3ccc(Br)cc3)n12,0,test
CCOC(=O)c1sc2nc3cc(-c4ccc(Cl)cc4)sc3c(=O)n2c1C,0,test
O=C1CCCC[C@H]1Cc1ccc(Cl)cc1,0,test
CCCCn1c(-c2ccc(CC)cc2)cn2c3c(=O)n(C)c(=O)n(C)c3nc12,0,test
CC(=O)N[C@@H](CCC(=O)O)C(=O)O,0,test
COc1cc2c(c(OC)c1OC)-c1ccc(O)c(=O)cc1[C@@H](NC(=O)c1ccccc1)CC2,0,test
O=C(COc1ccc(Cl)cc1)OCCN1CCOCC1,0,test
O=C1C(=O)N(Cc2ccccc2)c2ccc(Br)cc21,0,test
CCCCO[P@@]1(=O)OC(C)(C)C[C@]1(C)O,0,test
O=C1/C(=C\C=C\c2ccccc2)SC(=S)N1CN(CCO)CCO,0,test
O=C1/C(=C\c2cccc(F)c2)SC(=S)N1CN1CCOCC1,0,test
O=c1[nH]nc(-c2ccccc2)s1,0,test
O=C(O)Cc1ccc2c(c1)OCc1ccccc1C2=O,0,test
NC(=O)NC(=O)NCCc1ccccc1,0,test
Cc1ccccc1OC[C@@](C)(O)CO,0,test
O=C1CC(c2ccccc2)C(=O)N1C1CCCCC1,0,test
CCN(CC)CCN1C(=O)CN=C(c2ccccc2F)c2cc(Cl)ccc21,0,test
O=c1ccc(N2CCOCC2)nn1-c1ccccc1,0,test
CC(C)[C@H]1C[C@@H](C)OC1=O,0,test
O=C1/C(=C/c2cccc([N+](=O)[O-])c2)NC(=S)N1c1ccccc1,0,test
NCCCCCCSS(=O)(=O)O,1,test
NS(=O)(=O)c1cc(S(N)(=O)=O)c(Cl)s1,1,test
Cc1[nH]c2ccccc2c1Cc1n[nH]c(=S)n1-c1ccc(Br)cc1,1,test
Cc1[nH]c2ccccc2c1Cc1n[nH]c(=S)n1C1CCCCC1,1,test
Cc1ccc(/N=C2/SCC(=O)N2CCCN2CCOCC2)cc1,1,test
Cc1ccc2nc(C)n(-c3cc(C)no3)c(=O)c2c1,1,test
Cc1ccc2c(=O)n(-c3cc(C)no3)c(C)nc2c1,1,test
FC(F)(F)c1cc(-c2ccccc2)c2nncn2n1,1,test
C=CCN(CC(N)=O)c1ccccc1,1,test
C=CCN(CC=C)C[C@@H](O)Cn1cnc2c1c(=O)n(C)c(=O)n2C,1,test
C[C@H](N)CS(=O)(=O)O,1,test
CC(C)c1ccc2oc3nc(N)c(C(=O)O)cc3c(=O)c2c1,1,test
CC(C)OC(=O)C[C@@H]1NS(=O)(=O)c2ccccc21,1,test
O=C1CN2CCO[Si](c3ccc(F)cc3)(OCC2)O1,1,test
CC(=N\N)/C(=N/O)Nc1ccc(N(C)C)cc1,1,test
CN(C)c1ccc(/N=N/c2ccc(N)cc2)cc1,1,test
O=c1oc2ccc(Cl)cc2n1CN1CCCC1,1,test
CNc1c(C(=O)N(C)C)c(-c2ccccc2)nc2ccccc12,1,test
OCC[C@@H](c1ccco1)N1CCCCC1,1,test
COc1ccc2nc3c(c(N4CCN(c5ccccc5C)CC4)c2c1)CCC3,1,test
Nc1nc(N)c(-c2ccccc2)s1,1,test
CC/N=N/Cc1nnc(-n2c(/C=C/c3ccccc3)nc3ccccc3c2=O)s1,1,test
COc1cc(COCCN(C)C)cc(OC)c1OC,1,test
NC(=O)NO[Sb@@](=O)(O)c1ccc(N)cc1,1,test
CCCn1c(=O)c2c(ncn2CCCC[C@@H](C)O)n(C)c1=O,1,test
O=C(c1c2c(nc3ccccc13)CCCCC2)N1CCOCC1,1,test
Cc1cc(C)n(-c2nc(-c3ccc(O)c(O)c3)cs2)n1,1,test
c1ccc(C2CCCCC2)cc1,1,test
O=C(OC[C@H](O)CO)c1ccccc1Nc1ccnc2c(C(F)(F)F)cccc12,1,test
COc1ccc2c(=O)c(C)c(-c3ccc(F)cc3)oc2c1CN1CCCC1,1,test
OC(CN1CCN(c2ccccc2)CC1)c1ccncc1,1,test
Oc1ccc(Nc2ccccc2)cc1,1,test
CC[C@H]1N2CCc3c(n(C)c4ccccc34)[C@@H]2[C@H]2CCCCN21,1,test
CCCC1(CCC)CN(CCN2CCN(c3cccc(Cl)c3)C2=O)C1,1,test
COc1ccc2ccc(=O)oc2c1CC=C(C)C,1,test
N=C(N)Nc1ccc(C(=O)Oc2ccc([N+](=O)[O-])cc2)cc1,1,test
CCN(CC)CCN(Cc1ccc(Br)cc1)c1ncnc2ccccc12,1,test
Cc1nsc(Cl)c1C(=O)OCCN(C)C,1,test
NS(=O)(=O)c1cc(Cl)sc1Cl,1,test
CCn1nc(C(C)(C)C)c2c1-c1ccccc1C2(O)c1ccccc1,1,test
COc1cc2c(cc1O)C[C@@H]1NCCc3cc(OC)c(OC)c-2c31,1,test
COc1cc2c(cc1O)C[C@@H]1NCCc3cc(O)c(OC)c-2c31,1,test
CCOC(=O)CS(=O)(=O)c1nnc(-c2ccccc2)s1,1,test
CN(C(=O)CF)c1cccc2ccccc12,1,test
CC(=O)c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,1,test
CCN(CC)CCN(Cc1ccc(Br)cc1)c1cc(C)ncn1,1,test
CCCCN(CCCC)CCOc1ccnc(N)n1,1,test
COc1ccc(CCN2CCN(c3ccccc3)CC2)cc1OC,1,test
CCOc1ccccc1N1CCN(CCc2ccc(OC)c(OC)c2)CC1,1,test
COc1cc(C=O)cc(C=O)c1O,1,test
CCC1(CC)C(=O)N=C(Nc2ccc(C)cc2)NC1=O,1,test
O=C1CS[C@H](c2ccc(Cl)cc2)N1n1c(-c2ccccc2)nc2ccccc2c1=O,1,test
CC(CN(C)C)CN1c2ccccc2CCc2ccccc21,1,test
CC(C)N1C(c2ccncc2)=NCC1c1ccccc1,1,test
C=C[C@H]1CN2CCc3c([nH]c4ccccc34)[C@H]2C[C@@H]1/C(=C\OC)C(=O)OC,1,test
O=C(O)CCN1c2ccc(O)cc2Sc2ccc(Cl)cc21,1,test
CN1CCN(CCC=C2c3ccccc3Sc3ccc(S(=O)(=O)N(C)C)cc32)CC1,1,test
CN1CCC[C@@H]1CC(=O)c1cccs1,1,test
CC(=O)Nc1ccc(C2=NN(C(C)=O)C(C)Cc3cc4c(cc32)OCO4)cc1,1,test
O=[N+]([O-])c1cc(I)c(O)c(I)c1,1,test
COc1ccc(CCN2CCN(c3ccc(C)c(C)c3)CC2)cc1OC,1,test
CCCCN(CCCC)CC(=O)NN,1,test
CCN1CCC(=O)Nc2ccccc21,1,test
CCC(=O)Nc1ccc(C2=NN(C(=O)CC)C(C)Cc3cc4c(cc32)OCO4)cc1,1,test
Oc1c(Cl)c(Cl)c(Cl)c(Oc2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c1Cl,1,test
CCN(CC)Cc1c(OC)ccc2c(=O)c(C)c(-c3ccc(Cl)cc3)oc12,1,test
c1ccc2c(N3CCOCC3)c3ccccc3nc2c1,1,test
FC(F)(F)c1ccc2oc(=S)[nH]c2c1,1,test
CN1C(c2ccccc2O)=NCC1c1ccccc1,1,test
Cc1ccc(S(=O)(=O)N[C@@H](CCCCN)C(=O)CCl)cc1,1,test
O=C(COc1ccc2ccccc2c1)OCCF,1,test
COc1ccc2c(=O)c(C)c(-c3ccccc3)oc2c1CN1CCCCC1,1,test
CC[C@H]1CN(C)[C@@H]2Cc3c([nH]c4ccccc34)C(=O)C[C@@H]1[C@@H]2C(=O)OC,1,test
CCCCNc1c2c(nc3ccccc13)CCCC2,1,test
COc1ccc(CCN2CCN(c3ccccc3OC)CC2)cc1OC,1,test
CC(=O)CC[C@@H](O)c1ccoc1,1,test
C(=N/CCc1ccccc1)\NCCc1ccccc1,1,test
C=C1C2CCC3CC2(CC3(C)O)C2OC(C)(C)OC2C2(O)C1CC(O)C2(C)C,1,test
N#CCCCNCCCC#N,1,test
COC(=O)[C@](F)(Br)C(F)(F)C(F)(F)F,1,test
COc1cc2c3c(c1O)-c1c(cccc1OC)C[C@@H]3N(C)CC2,1,test
Cc1cc2c3ccccc3[n+]1CCCCCCCCCC[n+]1c(C)cc(c3ccccc31)NCCCCCCCCCCN2,1,test
CC(C)(C)CCOC(N)=O,1,test
C[C@H]1CC[C@@H]2[C@@H](C)[C@H]3[C@@H](C[C@@H]4[C@@H]5CC=C6C[C@@H](O[C@@H]7O[C@H](CO)[C@@H](O[C@@H]8O[C@H](C)[C@H](O)[C@@H](O)[C@H]8O)[C@H](O)[C@H]7O[C@@H]7O[C@@H](C)[C@@H](O)[C@@H](O)[C@H]7O)CC[C@@]6(C)[C@H]5CC[C@]43C)N2C1,1,test
CCSC#N,1,test
C=C1[C@@H]2CC[C@@H]3[C@@H](O)[C@@]2(C[C@@H](O)[C@@]2(O)[C@H]1C[C@H](O)C2(C)C)C[C@@]3(C)O,1,test
O=C1C=CC(=O)C=C1,1,test
CC[N+]1(CCO)CC1,1,test
[C-]#N,1,test
CCN(CCI)Cc1ccc(Cl)cc1,1,test
CCO[P@](C)(=O)SCCN(C(C)C)C(C)C,1,test
CN(CCI)Cc1cccc2ccccc12,1,test
COC(C(F)(F)F)C(F)(F)F,0,training
CC(C)(O/N=C(/C(=O)N[C@@H]1C(=O)N2C(C(=O)[O-])=C(C[n+]3ccccc3)CS[C@H]12)c1csc(N)n1)C(=O)O,0,training
CO[C@@]1(NC(=O)CSCC#N)C(=O)N2C(C(=O)O)=C(CSc3nnnn3C)CS[C@@H]21,0,training
CC1(C)C[C@@](C)(O)[P@@](C)(=O)O1,0,training
OCCOCCOCCO,0,training
CC(=O)Nc1ccc(/N=N/c2cc(C)ccc2O)cc1,0,training
COc1cc(Cc2cnc(N)nc2N)cc(OC)c1Br,0,training
COc1c(O)cc2c(c1O)[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1OC2=O.O,0,training
NS(=O)(=O)c1cc2c(cc1C(F)(F)F)NCNS2(=O)=O,0,training
Cc1ccccc1OC[C@@H](COC(=O)c1cccnc1)OC(=O)c1cccnc1,0,training
CO/N=C(/C(=O)N[C@@H]1C(=O)N2C(C(=O)OCOC(=O)C(C)(C)C)=C(Cn3nnc(C)n3)CS[C@H]12)c1csc(N)n1,0,training
NC(=O)[C@@]1(c2ccccc2)CCC(=O)O1,0,training
OCCO,0,training
C[N+](C)(C)CCOP(=O)([O-])OP(=O)(O)OC[C@H]1O[C@@H](n2ccc(N)nc2=O)[C@H](O)[C@@H]1O,0,training
C[C@@]1(Cn2ccnn2)[C@H](C(=O)O)N2C(=O)C[C@H]2S1(=O)=O,0,training
CO/N=C(/C(=O)N[C@@H]1C(=O)N2C(C(=O)OCOC(=O)C(C)(C)C)=C(/C=C\c3scnc3C)CS[C@H]12)c1csc(N)n1,0,training
NCCCC(=O)O,0,training
N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O,0,training
O=C(O)C=C(c1ccccc1)c1ccccc1,0,training
CN(C)[P@@]1(=O)OC(C)(C)C[C@]1(C)O,0,training
CCOC(=O)C1=C(C)NC(C)=C(C(=O)OCC)C1c1ccc([N+](=O)[O-])o1,0,training
CCSCC[C@H](N)C(=O)O,0,training
COc1c(O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)cc2occ(-c3ccc(O)cc3)c(=O)c2c1O,0,training
CO[P@@]1(=O)OC(C)(C)C[C@]1(C)O,0,training
NC(=O)c1ccccc1C(N)=O,0,training
CC(=O)NCCCCCCNC(C)=O,0,training
O=C1/C(=C/c2ccc([N+](=O)[O-])cc2)NC(=S)N1c1ccccc1,0,training
O=C1/C(=C/c2ccc3ccccc3c2)NC(=S)N1c1ccccc1,0,training
Cc1ccc(N2C(=O)/C(=C/c3ccc4ccccc4c3)NC2=S)cc1,0,training
O=C1/C(=C/c2ccc3ccccc3c2)NC(=S)N1c1ccc(Cl)cc1,0,training
FC(F)OC(F)(F)C(F)Cl,0,training
C[C@@H]1C[C@H](OC(=O)[C@H](O)c2ccccc2)CC(C)(C)C1,0,training
CCOC(=O)NC(=S)Nc1ccccc1NC(=S)NC(=O)OCC,0,training
O=C1CCCN1,0,training
COc1ccccc1OCC(COC(=O)c1cccnc1)OC(=O)c1cccnc1,0,training
CCOC(=O)[C@H]1O[C@@H]1C(=O)N[C@@H](CC(C)C)C(=O)NCCC(C)C,0,training
NC(=O)[C@@H]1CC(=O)O[C@@H]1c1ccccc1,0,training
CC(O)(CC(=O)O)CC(=O)O,0,training
O=[N+]([O-])OC[C@H](O)CO,0,training
COc1ccccc1OC[C@H](O)COC(=O)c1cccnc1,0,training
O=c1[nH]c(=O)n([C@H]2C[C@H](O)[C@@H](CO)O2)cc1Br,0,training
FC(F)OC(Cl)C(F)(F)F,0,training
O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,0,training
Cc1cc(C)n(-c2nc3ccccc3s2)n1,0,training
COc1ccc(C(=O)CC2(O)C(=O)c3ccccc3C2=O)cc1OC,0,training
Cc1cc(C)n(-c2nc(-c3ccccc3)cs2)n1,0,training
CC(=O)SC[C@@H](C)C(=O)N1CCC[C@H]1C(=O)N[C@@H](Cc1ccccc1)C(=O)O,0,training
COC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1ccco1,0,training
CN1CCN(C)C1=O,0,training
O=C1NCCCCN1,0,training
CC1=C(C(C)C)CCCC1,0,training
COC(=O)[C@@H](F)C(F)(F)F,0,training
CCS(=O)(=O)CCn1c([N+](=O)[O-])cnc1C,0,training
CC(=O)Nc1ccc(OCC(O)C(C)O)cc1,0,training
COCCOCCO,0,training
CNc1ccc(O)c2c1C(=O)c1c(NC)ccc(O)c1C2=O,0,training
NC(=O)NC(=O)[C@@H]1CC(=O)O[C@@H]1c1ccccc1,0,training
COCC1=C(C(=O)OC(C)OC(=O)OC(C)C)N2C(=O)[C@@H](NC(=O)/C(=N/OC)c3csc(N)n3)[C@H]2SC1,0,training
CC1=C(C(C)C)CC=CC1,0,training
O=C1/C(=C/c2cccc3ccccc23)NC(=S)N1c1ccc(Cl)cc1,0,training
CCCCCCS(=O)C1CS(=O)(=O)CC1O,0,training
CC(=O)/N=c1/sc(S(N)(=O)=O)nn1C,0,training
CC(C)NNC(=O)CCCO,0,training
NC(=O)OCC1(COC(N)=O)CCCC1,0,training
CC1(C)OC(=O)N(CC[C@@H](O)CO)C1=O,0,training
CC(C)CCNC(=O)[C@H](CC(C)C)NC(=O)[C@H]1O[C@@H]1C(=O)O,0,training
CCOCCOCCO,0,training
Cc1cc(NS(=O)(=O)c2ccc(N)cc2)no1,0,training
C=CCC(CC=C)c1ccccc1,0,training
Cc1ccc(N2C(=O)/C(=C/c3cccc4ccccc34)NC2=S)cc1,0,training
Cn1c(=O)c2c(ncn2CC(O)CN2CCCCC2)n(C)c1=O,0,training
COc1cc(OC)c(C(=O)/N=c2/sc(S(N)(=O)=O)nn2C)cc1OC,0,training
CCO[P@@]1(=O)OC(C)(C)C[C@]1(C)O,0,training
O=C1/C(=C/c2cccc3ccccc23)NC(=S)N1c1ccccc1,0,training
CCN(CC)CCOC(=O)C=C(c1ccccc1)c1ccccc1,0,training
COc1cc(OC)c(C(=O)/N=c2/sc(S(N)(=O)=O)nn2C)c(OC)c1,0,training
CCCCCCCCCCCCCCCCCC(=O)N(C)C,0,training
Cn1c(N)c(N=O)c(=O)n(C)c1=O,0,training
COC(=O)[C@H]1CC(=O)O[C@@H]1c1ccccc1,0,training
NS(=O)(=O)c1csc(S(N)(=O)=O)c1,0,training
Cc1ccccc1/C=C1\NC(=S)N(c2ccc(Br)cc2)C1=O,0,training
Cc1ccc(/C=C2\NC(=S)N(c3ccc(Br)cc3)C2=O)cc1,0,training
Cc1ccc(/C=C2\NC(=S)N(c3ccc(Br)cc3)C2=O)c(C)c1,0,training
COc1cccc(/C=C2\NC(=S)N(c3ccc(Br)cc3)C2=O)c1,0,training
COc1ccc(OC)c(/C=C2\NC(=S)N(c3ccc(Br)cc3)C2=O)c1,0,training
O=C(OCC1COC2(CCCCC2)O1)c1ccccc1O,0,training
O=C(OCC1CSC2(CCCCC2)O1)c1ccccc1O,0,training
O=C1C2=C(CCCC2)C(=O)N1c1nc[nH]n1,0,training
O=C(NCCCc1c[nH]c2ccccc12)c1cccc(Cl)c1,0,training
CCO[Si](OCC)(OCC)C(C)N1CCCC1=O,0,training
COc1cccc(N(C)C(=S)Oc2ccc3c(c2)CCCC3)n1,0,training
Cc1sc(S(N)(=O)=O)cc1S(N)(=O)=O,0,training
CC(=O)O[P@@]1(=O)OCC(C)(C)C[C@]1(C)O,0,training
Fc1ccc(C(c2ccccc2)(c2ccccc2F)n2ccnc2)cc1,0,training
Cc1ncc2c(=O)n(CCCN3CCN(c4cccc(Cl)c4)CC3)c(=S)n(-c3ccccc3)c2n1,0,training
Cc1ncc2c(=O)nc(SCCCN3CCN(c4cccc(Cl)c4)CC3)n(-c3ccccc3)c2n1,0,training
Nc1nc2nc(N)nc3nc(N)nc(n1)-n-2-3,0,training
CC[C@@H]1C(C)=NN=C(c2ccc(OC)c(OC)c2)c2cc(OC)c(OC)cc21,0,training
CCOC(=O)CC(=O)N1CCS[C@H]1COc1ccccc1OC,0,training
COc1ccc(-n2c(-c3ccc(C)cc3)cn3c4c(=O)n(C)c(=O)n(C)c4nc23)cc1,0,training
Cc1ccc(-c2cn3c4c(=O)n(C)c(=O)n(C)c4nc3n2-c2ccccc2)cc1,0,training
CC(=O)OC[C@@H](COc1ccccc1)OC(C)=O,0,training
CC(C)[C@@H](C)[C@@]1(C(=O)NC(N)=O)C[C@H](C)OC1=O,0,training
O=C1CN2CCO[Si](c3cccc(F)c3)(OCC2)O1,0,training
CCOC(=O)CC(=O)N1CCS[C@@H]1COc1ccccc1OC,0,training
Cc1nc(NS(=O)(=O)c2ccc(N)cc2)oc1C,0,training
CS(=O)(=O)c1ccc(-c2cn3[nH]cnc3n2)cc1,0,training
NS(=O)(=O)c1cc2c(cc1C(F)(F)F)NC=NS2(=O)=O,0,training
COc1ccc(C(=O)Cn2c(N3CCCCC3)nc3c2c(=O)n(C)c(=O)n3C)cc1,0,training
CCOCCO,0,training
CCCC(=O)O[C@]1(C(=O)COC(=O)CC)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C,0,training
CC(C)c1ccc(C(C)C)cc1,0,training
COc1ccc(OC[C@H](O)CO)cc1,0,training
CCS[P@]1(=O)OC(C)(C)C[C@@]1(C)O,0,training
N#Cc1cccc(C(N)=O)c1,0,training
CC(C)(C=O)CO,0,training
COc1ccc(CCNC(=O)NC(N)=O)cc1,0,training
O=C1c2ccccc2CN2C(=O)c3ccccc3CN12,0,training
COc1ccccc1/C=C1\NC(=S)N(c2ccc(Br)cc2)C1=O,0,training
COc1ncccc1C(=O)N[C@@H](CCC(=O)O)C(=O)O,0,training
Cc1cc(C)c([C@@]2(C)OC[C@@H](COC(N)=O)O2)c(C)c1,0,training
CCC1(C[C@H](O)c2cccnc2)C(=O)NC(=O)NC1=O,0,training
Cc1ccc(S(=O)(=O)NC(=O)N[C@H]2[C@H]3CC[C@@](C)([C@H]2O)C3(C)C)cc1,0,training
Nc1ccc(S(=O)(=O)Nc2cccc[n+]2[O-])cc1,0,training
O=C(O)CCNC(=O)c1cccnc1Cl,0,training
Clc1cc(Cl)c2nc3c(c(N4CCOCC4)c2c1)CCCCC3,0,training
CC(=O)OC[C@H](COc1ccccc1C)OC(C)=O,0,training
CCOC(=O)n1oc2ccccc2c1=O,0,training
CCCCCCCCCCCCCC(=O)N(C)C,0,training
Cn1nc(S(N)(=O)=O)s/c1=N/C(=O)c1ccc(Cl)cc1,0,training
CCOc1ccc(-n2c(-c3ccc(OC)cc3)cn3c4c(=O)n(C)c(=O)n(C)c4nc23)cc1,0,training
O=c1[nH]cc(Br)c(=O)[nH]1,0,training
N[C@@H](CS)C(=O)O,0,training
NS(=O)(=O)c1cc2c(cc1Cl)N=CNS2(=O)=O,0,training
CC(=O)C(O)(O)C(=O)O,0,training
CCOC(=O)C[N+](=O)[O-],0,training
CC(C)(C)C(=O)OCC(=O)c1ccccc1,0,training
CCC(CC)(COC(N)=O)COC(N)=O,0,training
Cc1ccc(C(=O)Cn2c(N3CCCCC3)nc3c2c(=O)n(C)c(=O)n3C)cc1,0,training
O=C1/C(=C/c2ccccc2Cl)NC(=S)N1c1ccc(Br)cc1,0,training
Cc1ccc(-c2cn3c4c(=O)n(C)c(=O)n(C)c4nc3n2-c2ccc(C)cc2)cc1,0,training
CC(=O)OC[C@H](O)COc1ccccc1,0,training
CCOC(=O)[C@H]1CCOC1=O,0,training
Cn1c(=O)c2c(ncn2CCS(C)=O)n(C)c1=O,0,training
Cc1ccc(N2C(=O)/C(=C/c3cccc([N+](=O)[O-])c3)NC2=S)cc1,0,training
CCCCCCCCCCCCS(=O)C1CS(=O)(=O)CC1O,0,training
