smiles,Urinary_tract_toxicity,group
Cc1c[nH]c2ccccc12,-2.24304,test
OCCO,-3.74927,test
OCCOCCOCCO,-3.91068,test
C=CCOC(=O)OCCOCCOC(=O)OCC=C,-2.43136,test
O=C([O-])CN(CCN(CC(=O)[O-])CC(=O)O)CC(=O)[O-].[Na+].[Na+].[Na+],-2.47712,test
[N-]=[N+]=CC(=O)NCC(=O)NN,-3.41078,test
CCc1oc2ccccc2c1C(=O)c1cc(Br)c(O)c(Br)c1,-2.16435,test
COc1ccc([N+](=O)[O-])cc1Cl,-2.91116,test
O=C(Cc1cccs1)N[C@@H]1C(=O)N2C(C(=O)[O-])=C(CO)CS[C@H]12.[Na+],-3.94221,test
O=[N+]([O-])OC[C@H]1CO1,-2.47712,test
O=C([O-])CN(CC(=O)O)[C@H]1CCCC[C@@H]1N(CC(=O)[O-])CC(=O)O.[Na+].[Na+],-2.47712,test
O=C([O-])c1cc(/N=N/c2ccc(-c3ccc(/N=N/c4ccc(/N=N/c5ccc(O)cc5)c5cc(S(=O)(=O)[O-])ccc45)cc3)cc2)ccc1O.[Na+].[Na+],-2.60206,test
O=C([O-])CN(CC(=O)O)CC(=O)O.[Na+],-2.66276,test
O=NN(CCCl)C(=O)NC1CCCCC1,-1.72428,test
CC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)[C@H](N)c3ccccc3)[C@H]2SC1,-2.60206,test
O=C([O-])CN(CCN(CC(=O)[O-])CC(=O)O)CC(=O)[O-].[Fe+3],-2.77815,test
Cc1ccc(S(=O)(=O)NC(=O)N[C@H]2[C@H]3CC[C@@](C)([C@H]2O)C3(C)C)cc1,-3.18469,test
C[C@@]12CC[C@@H]3[C@](CC[C@@H]4[C@](C)(C(=O)O)CCC[C@@]43C)(CC1=O)C2,-3.02938,test
C1=CCc2cn(-c3ccccc3)cc2C1,-3.30103,test
CCN(CC)C(=O)N[C@H]1C[C@@H]2c3cccc4[nH]cc(c34)C[C@@H]2N(C)C1,-2.43457,test
Cn1c2c(c(=O)n(C)c1=O)CCN2,-2.52634,test
C=CCn1c(=O)n(C)c(=O)c2ccn(C)c21,-2.60206,test
CCCCc1c(C)n(C)c2c1c(=O)n(C)c(=O)n2-c1ccccc1,-3.05308,test
COc1cccc2c3ccccc3n(CC[NH+]3CCCC3)c12.O=C([O-])C(=O)O,-2.47712,test
COCCCn1c(=O)c2ccc3c(=O)n4c5ccccc5nc4c4cc(C#N)c(c1=O)c2c34,-3.12057,test
Cc1ccccc1N1CCN(CCCN(c2ccccc2)c2ccccc2)CC1.Cl.Cl,-2.77815,test
CCn1c(=O)c2cc[nH]c2n(CC)c1=O,-2.45179,test
CCn1c(=O)c2ccn(C)c2n(CC)c1=O,-2.30103,test
NC1CCCCC1.NC1CCCCC1.[Cl-].[Cl-].[Pt+2],-2.83251,test
O=C(Nc1cccc(Cl)c1)C1=Nc2ccccc2S(=O)(=O)N1,-3.06781,test
O=[N+]([O-])c1ccc(N/N=C\c2c3c(cn2-c2ccccc2)CCCC3)c([N+](=O)[O-])c1,-2.47712,test
CC1CCc2c(cn(-c3ccccc3)c2/C=N/NC(N)=O)C1,-2.81291,test
CC1=CCc2c(cn(-c3ccccc3)c2/C=N/NC(N)=O)C1,-2.92942,test
O=C(Cc1ccc(-c2ccc(CC(=O)[NH+]3CCC(CO)CC3)cc2)cc1)[NH+]1CCC(CO)CC1.[Br-].[Br-],-0.799341,test
O=C(Cc1ccc(-c2ccc(CC(=O)[n+]3cccc(Br)c3)cc2)cc1)[n+]1cccc(Br)c1.[Br-].[Br-],0.568636,test
CCc1ccc[n+](C(=O)Cc2ccc(-c3ccc(CC(=O)[n+]4cccc(CC)c4)cc3)cc2)c1.[Br-].[Br-],0.677781,test
O=Cc1ccc[n+](C(=O)Cc2ccc(-c3ccc(CC(=O)[n+]4cccc(C=O)c4)cc3)cc2)c1.[Br-].[Br-],-0.361728,test
O=C(Cc1ccc(-c2ccc(CC(=O)[n+]3cccc(I)c3)cc2)cc1)[n+]1cccc(I)c1.[Br-].[Br-],0.886057,test
O=C(Cc1ccc(-c2ccc(CC(=O)[n+]3ccccc3)cc2)cc1)[n+]1ccccc1.[Br-].[Br-],-0.477121,test
O=C([O-])C(S)C(S)C(=O)O.[Na+],-3.4624,test
NCCCCC1CCCCC1.NCCCCC1CCCCC1.[Cl-].[Cl-].[Pt+2],-2.12057,test
Nc1cccc(C(=O)[O-])c1N.[Cl-].[Cl-].[H+].[Pt+2],-2.25527,test
COc1ccc(Cl)cc1N=Nc1ncc[nH]1,-2.90037,test
COc1ccc(F)cc1/N=N/c1ncc[nH]1,-2.50786,test
COc1ccc(CCNc2nc3c(c(=O)n(C)c(=O)n3C)n2CC(O)CO)cc1OC,-3.0607,test
Cn1c(=O)c2c(nc(N/N=C/C=C/c3ccc([N+](=O)[O-])o3)n2CC(O)COc2ccccc2)n(C)c1=O,-2.3032,test
O=c1c2ccccc2nc(CNC[C@](O)(CO)c2ccc([N+](=O)[O-])cc2)n1-c1ccc(Br)cc1,-2.0086,test
O=c1c2ccccc2nc(CNCC(O)(CO)c2ccc([N+](=O)[O-])cc2)n1-c1ccc(Br)cc1,-2.04922,test
COC(=O)Cc1ccc(C2=Nc3cc(Cl)ccc3OC2)cc1,-3,test
CC(=N)Nc1ccccc1F,-2.5832,test
Cc1nc(-c2ccccc2)cc(=O)n1-c1ccccc1F,-2.75891,test
Cc1ccccc1-n1c(C)nc(-c2ccccc2)cc1=O,-2.49969,test
O=c1cc(-c2ccccc2)nc(-c2ccccc2)n1-c1ccccc1-c1ccccc1,-3,test
Cc1cc(=O)n(-c2ccccc2Cl)c(-c2ccccc2)n1,-2.83315,test
O=C(/C=N/N1CCOC1=O)c1ccc([N+](=O)[O-])o1,-1.94448,test
O=C(/C=N/N1CCNC1=O)c1ccc([N+](=O)[O-])o1,-2.61278,test
O=CC(=O)c1cc2ccccc2oc1=O,-3.49831,test
CN(C)S(=O)(=O)c1cc2c(c(Cl)c1Cl)O[C@H](C(=O)O)C2,-2.90687,test
O=C(O)C1=Nc2ccccc2S(=O)(=O)N1,-3.03583,training
Fc1ccc(C(OCCN2CCN3Cc4[nH]c5ccccc5c4CC3C2)c2ccccc2)cc1,-2.90309,training
C[C@@H](O)CO,-3.98758,training
C=CCn1c(=O)n(C)c(=O)c2cc[nH]c21,-2.67761,training
CI.O=C(/C=N/N1CC(CN2CCOCC2)OC1=O)c1ccc([N+](=O)[O-])o1,-2.59106,training
CCCCOCCOCCO,-2.92942,training
C[C@@H]([C@@H](Cl)c1ccccc1)N(C)CCCl.Cl,-1.30103,training
CNC[C@@H](O)c1cn(C)c2ccccc12,-2.81291,training
O=C(/C=N/N1CC(CN2CCOCC2)OC1=O)c1ccc([N+](=O)[O-])o1,-1.80618,training
Cl.ClCCN(CCCl)CCSCCN(CCCl)CCCl,-0.845098,training
CN1C(=O)[C@H](O)N=C(c2ccccc2Cl)c2cc(Cl)ccc21,-2.89209,training
NC1CCCC1.NC1CCCC1.[Cl-].[Cl-].[Cl-].[Cl-].[Pt+4],-2.14922,training
C[C@@H](O)COC[C@@H](C)O,-3.65263,training
C[C@H]1[C@H]2[C@H](C[C@H]3[C@@H]4CC=C5C[C@@H](O)CC[C@]5(C)[C@H]4CC[C@@]32C)O[C@]12CC[C@@H](C)CN2,-2.95376,training
COc1ccc(C(=O)N2CCN(c3ccc4c(c3)CCC(=O)N4)CC2)cc1OC,-3.07918,training
CC(N)(Cc1ccc(O)c(O)c1)C(=O)O,-3.11959,training
NCCN1CCN2Cc3[nH]c4ccccc4c3CC2C1,-2.17609,training
O=C(N/N=C/c1ccc([N+](=O)[O-])o1)c1ccc(O)cc1,-3,training
Cl.O=C(/C=N/N1C[C@H](CN2CCOCC2)OC1=O)c1ccc([N+](=O)[O-])o1,-1.81291,training
Nc1ccc2cc(S(=O)(=O)[O-])c(/N=N/c3ccc(-c4ccc(/N=N/c5ccc(O)c(C(=O)[O-])c5)cc4)cc3)c(O)c2c1.[Na+].[Na+],-3.19866,training
C1CN1.N.[Cl-].[Cl-].[Pt+2],-1.44716,training
O=C1NCCCN1/N=C/c1ccc([N+](=O)[O-])o1,-2.85733,training
CC(C)(C)N(CCCl)CCCl.Cl,-0.152288,training
COc1ccc(N)cc1Cl,-2.82607,training
C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(O)ccc4[C@H]3CC[C@@]21C,-2.39794,training
NC(Cc1ccc(Oc2ccc(N(CCCl)CCCl)cc2)cc1)C(=O)O,-2.04139,training
COCCO,-3.33183,training
N#CCCC#N,-1.8001,training
Cc1cccc(N)c1N.[Cl-].[Cl-].[Pt+2],-1.36173,training
Fc1ccc2c(c1)c1c(n2CC[NH+]2CCCC2)CCCC1.O=C([O-])C(=O)O,-2,training
CC1CCC(N[Pt](Cl)(Cl)NC2CCC(C)CC2)CC1,-2.5563,training
CCC(=O)c1ccc(OCC(O)CNCCc2ccc(OC)c(OC)c2)c(C(C)=O)c1,-2.83315,training
Cc1ccc(C2=Nc3cc(CC(=O)O)ccc3OC2)cc1,-2.49969,training
O=C(N1CC1)N1CC1,-0.929419,training
Cn1c(=O)c2c(nc(NN=C3Nc4ccccc4C3=O)n2CC(O)CO)n(C)c1=O,-2.27184,training
CC(=N)Nc1ccccc1,-2.49969,training
Cc1ccc2c([nH]c(=O)c3c(=O)cc(C(=O)OCCC(C)C)oc32)c1C,-3.15685,training
NC1CCCC1.NC1CCCC1.[Cl-].[Cl-].[Cl-].[Cl-].[Pt+2],-2.68124,training
O=C(NCCN1CCN2Cc3[nH]c4ccccc4c3C[C@H]2C1)c1ccc(F)cc1,-2.77815,training
NC1CCCC1.NC1CCCC1.[Cl-].[Cl-].[OH-].[OH-].[Pt+2],-2.68124,training
CC[NH+](CC)CCC1=[N+]C(c2ccccc2)=[N+]O1.O=P([O-])([O-])[O-],-2.4624,training
CCOC(=O)Cc1ccc2c(c1)N=C(c1ccc(C)cc1)CO2,-3,training
OCCOCCO,-3.98762,training
COc1ccc2[nH]c3c(C)nccc3c2c1,-2.81291,training
O=S(=O)([O-])c1cc(O)c2c(/N=N/c3ccc(Nc4ccccc4)c4c(S(=O)(=O)[O-])cccc34)cc(S(=O)(=O)[O-])cc2c1.[Na+].[Na+].[Na+],-2.62325,training
CC(=O)OCOC(=O)C1=C(COC(N)=O)S[C@@H]2[C@H]([C@@H](C)O)C(=O)N12,-2.51322,training
C[C@H]1CCc2c(cn(-c3ccccc3)c2/C=N\Nc2ccc([N+](=O)[O-])cc2[N+](=O)[O-])C1,-2.4624,training
C[C@](N)(Cc1cc(O)c(O)cc1O)C(=O)O,-2.4609,training
CCCN(CCC)C(=O)C(CCC(=O)[O-])NC(=O)c1ccccc1.[Na+],-3.44886,training
COc1ccc([C@H](OC)[C@@H]2CCCC[C@@H]2N2CCCCC2)cc1.Cl,-1.60206,training
CC1=CCC(O)(C(C)C)CC1,-2.39794,training
CCCCc1c(C)[nH]c2c1c(=O)n(C)c(=O)n2C,-2.52634,training
Cc1ccc(S(=O)(=O)NNC(=O)C2=Nc3ccccc3S(=O)(=O)N2)cc1,-3.05461,training
CC[C@]1(O)C[C@H]2CN(CCc3c([nH]c4ccccc34)[C@@](C(=O)OC)(c3cc4c(cc3OC)N(C)[C@H]3[C@@](O)(C(N)=O)[C@H](O)[C@]5(CC)C=CCN6CC[C@@]43[C@@H]65)C2)C1.O=S(=O)(O)O,-0.544068,training
C[C@@]1(O)CC(=O)c2c(cc3ccc(-c4c5c(c(O)c6c(O)cccc46)C(=O)C[C@](C)(O)C5)c(O)c3c2O)C1,-1.49969,training
O=C([O-])[O-].[Cs+].[Cs+],-3,training
Clc1ccc2c3ccccc3n(CC[NH+]3CCCC3)c2c1.O=C([O-])C(=O)O,-2,training
CCCCC(C)N.CCCCC(C)N.[Cl-].[Cl-].[Pt+2],-2.82607,training
Cn1c(=O)c2c(ncn2C)n(C)c1=O,-2.22531,training
CC1(C)S[C@@H]2[C@@H](NC(=O)[C@H](C(=O)[O-])c3ccsc3)C(=O)N2[C@H]1C(=O)[O-].[Na+].[Na+],-3.89209,training
NS(=O)(=O)c1cc2c(cc1Cl)CN(C1CCCCC1)C2=O,-2.74819,training
COc1cccc2cc(C(=O)C=O)c(=O)oc12,-3.45864,training
CC[NH+](CC)CCn1c2c(c3cc(F)ccc31)CCCC2.O=C([O-])C(=O)O,-2.47712,training
C1=C(CN2CCN(CC3=Cc4ccccc4OC3)CC2)COc2ccccc21.Cl,-2.90309,training
Cc1cc(=O)n(-c2ccccc2C)c(C)n1,-2.41664,training
C[NH+](C)CCn1c2c(c3cc(F)ccc31)CCCC2.O=C([O-])C(=O)O,-2,training
CN1CCN(C(=O)C2=Cc3ccccc3OC2)CC1,-2.49969,training
Cc1c(OCC(F)(F)F)ccnc1C[S@@](=O)c1nc2ccccc2[nH]1,-3.69897,training
Cn1c(=O)c2ccn(C)c2n(C)c1=O,-2.37658,training
Cc1nccc(=O)n1-c1ccc(F)cc1,-2.74974,training
N=C(Nc1ccc([N+](=O)[O-])cc1)c1ccccc1,-3,training
Cc1ccc(-n2c(CNC[C@@](O)(CO)c3ccc([N+](=O)[O-])cc3)nc3ccccc3c2=O)cc1,-1.95424,training
Cn1c(=O)c2c(nc(Nc3ccccc3)n2CC(O)CO)n(C)c1=O,-2.68574,training
C[C@@H](N)Cc1ccc(O)c(O)c1,-2.76042,training
Cl.O=C1OC(CN2CCOCC2)CN1/N=C/c1ccc([N+](=O)[O-])o1,-2.27875,training
CC(C)NCCC(=O)N(c1ccccc1)c1ccccc1.Cl,-2.30103,training
O=c1cc(-c2ccccc2)nc(-c2ccccc2)n1-c1cccc(F)c1,-3,training
C[C@H]1CC=CC[N@+]1(C)OCCc1ccc(-c2ccc(CCO[N@@+]3(C)CC=CC[C@@H]3C)cc2)cc1.[IH-].[IH-],0.431798,training
C[NH+](C)CCCn1c2ccccc2c2cc(Cl)ccc21.O=C([O-])C(=O)O,-2.30103,training
O=C(O)c1cc2c(cc1Cl)SC(=S)NS2(=O)=O,-2.39794,training
CC(=O)N[C@@H]1[C@@H](O)C[C@@](O)(C(=O)O)O[C@H]1[C@H](O)[C@H](O)CO.[Na+],-3.69897,training
CS(=O)(=O)Nc1ccc(OCC(O)CN2CCN(c3ccccc3)CC2)cc1,-1.57403,training
C1CN1,-0.60206,training
CCn1c2c(c(=O)n(CC)c1=O)CCN2,-2.37658,training
CC1=CCc2c(cn(-c3ccccc3)c2/C=N\Nc2ccc([N+](=O)[O-])cc2[N+](=O)[O-])C1,-2.43136,training
CC[C@@H](C)[C@@H]1NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](C(C)C)NC(=O)[C@@H]2CSSC[C@@H](NC1=O)C(=O)N2,-0.491362,training
CCOCCO,-3.23223,training
CC1=CCc2cn(-c3ccccc3)cc2C1,-3.39794,training
CS(C)=O.CS(C)=O.[Cl-].[Cl-].[Pt+2],-2.12385,training
Cc1[nH]c2c(c1C)c(=O)n(C)c(=O)n2-c1ccccc1,-3.05308,training
C[C@H]1CCC[N@@+](C)(CC(=O)c2ccc(-c3ccc(C(=O)C[N@@+]4(C)CCC[C@@H](C)C4)cc3)cc2)C1.[IH-].[IH-],-0.146128,training
CCn1cc([C@H](O)CN(C)C)c2ccccc21,-2.12385,training
O=S(N1CC1)N1CC1,-1.11394,training
C[N+]1(C(=O)Cc2ccc(-c3ccc(CC(=O)[N+]4(C)CCCCC4)cc3)cc2)CCCCC1.[I-].[I-],0.148742,training
COc1ccc2c3ccccc3n(CCC[NH+](C)C)c2c1.O=C([O-])C(=O)O,-2.47712,training
O=C(Cc1ccc(-c2ccc(CC(=O)[n+]3cccc(Cl)c3)cc2)cc1)[n+]1cccc(Cl)c1.[Br-].[Br-],0.455932,training
CCN(CC)CCNC(=O)COc1ccc(C2CCCCC2)cc1,-2.24304,training
N#C[Se-].[K+],-1.39794,training
OC(CCCN1CCN2Cc3[nH]c4ccccc4c3CC2C1)(c1ccccc1)c1ccc(F)cc1,-2.90309,training
NC1CC1.NC1CC1.[Cl-].[Cl-].[Pt+2],-1.43136,training
CSc1nccc(=O)n1-c1ccccc1,-2.60206,training
COc1ccccc1/N=N/c1ncc[nH]1,-2.79934,training
NC1CCC(O)CC1.NC1CCC(O)CC1.[Cl-].[Cl-].[Pt+2],-1.36173,training
CC(O)(CCCN1CCN2Cc3[nH]c4ccccc4c3CC2C1)c1ccc(F)cc1,-2.60206,training
N#CCN1CCN2Cc3[nH]c4ccccc4c3CC2C1,-2.90309,training
Nc1cc(NCCO)ccc1/N=N/c1ccc2cc(S(=O)(=O)[O-])c(/N=N/c3ccc(Nc4ccc(/N=N/c5c(S(=O)(=O)[O-])cc6ccc(/N=N/c7ccc(NCCO)cc7N)cc6c5O)cc4S(=O)(=O)[O-])cc3)c(O)c2c1.[Na+].[Na+].[Na+],-3.02531,training
CC(O)C(O)c1cnc2nc(N)[nH]c(=O)c2n1,-2.94399,training
c1cnc2c(c1)ccc1cccnc12,-1.87506,training
Cn1c(=O)nc2[nH]ncnc-2c1=O,-1.65031,training
C[C@]1(c2ccccc2)Cc2cc(OCC(=O)O)c(Cl)c(Cl)c2C1=O,-2.39094,training
O=C([O-])CN(CCN(CC(=O)[O-])CC(=O)[O-])CC(=O)[O-].[Na+].[Na+].[Na+].[Na+],-2.51851,training
C[N+]1(C(=O)Cc2ccc(-c3ccc(CC(=O)[N+]4(C)CCC(=O)CC4)cc3)cc2)CCC(=O)CC1.[Br-].[Br-],-0.0413927,training
O=C([O-])CN(CCN(CC(=O)[O-])CC(=O)[O-])CCN(CC(=O)[O-])CC(=O)[O-].[Fe+2],-2.34242,training
Cn1c2c(c(=O)n(C)c1=O)CCC2,-2.62737,training
COc1ccc([C@@H](OC)[C@@H]2CCCC[C@@H]2N2CCCCC2)cc1,-2.74974,training
CCCCn1cc([C@H](O)CN(C)C)c2ccccc21,-2.30103,training
COc1ccc2c(c1)c1ccnc(C)c1n2C.Cl,-1.72428,training
CC(=O)[O-].N=C([NH2+])N/N=C/c1c(Cl)cccc1Cl,-1.87506,training
O=C1CN(/N=C/C(=O)c2ccc([N+](=O)[O-])o2)C(=O)N1,-2.04139,valid
COc1ccc([C@@H](OC)[C@H]2CCCC[C@H]2N2CCCCC2)cc1.Cl,-1.87506,valid
Cn1c(=O)c2c(nc(N/N=C/c3ccc([N+](=O)[O-])o3)n2CC(O)CO)n(C)c1=O,-2.34439,valid
CCOC(=O)c1ccccc1C(=O)OCC,-3.43917,valid
CC(=O)Nc1ccc(/N=N/c2c(S(=O)(=O)[O-])cc3cc(NC(=O)Nc4ccc5c(O)c(/N=N/c6ccccc6)c(S(=O)(=O)[O-])cc5c4)ccc3c2O)cc1.[Na+].[Na+],-2.57978,valid
O=C1NCCN1c1ncc([N+](=O)[O-])s1,-2.34242,valid
CC(=O)OCC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)[C@H](N)c3ccccc3)[C@H]2SC1,-3.01284,valid
Cl.NC(=O)c1cc2cccnc2nc1N,-1.35603,valid
Cn1c(=O)c2c(nc(N/N=C/C=C/c3ccc([N+](=O)[O-])o3)n2CC(O)CO)n(C)c1=O,-2.34044,valid
Cn1c(=O)c2cc[nH]c2n(C)c1=O,-2.22531,valid
C[NH+](C)CCCn1c2c(c3cc(Cl)ccc31)CCCC2.O=C([O-])C(=O)O,-2.47712,valid
CC(N)Cc1cc(O)c(O)cc1O,-2.50515,valid
Cn1c(-c2ccccc2)c([C@H](O)CN2CCCCC2)c2ccccc21,-3,valid
NS(=O)(=O)c1ccc(S(=O)(=O)NNC(=O)C2=Nc3ccccc3S(=O)(=O)N2)cc1,-3.08243,valid
Cc1[nH]c2c(c1C)c(=O)n(C)c(=O)n2C,-2.60206,valid
O=[N+]([O-])c1cc(Cl)c(/N=N/c2ccc(N3CCS(=O)(=O)CC3)cc2)c(Cl)c1,-2.60206,valid
O=[N+]([O-])C(F)(COCC(COCC(F)([N+](=O)[O-])[N+](=O)[O-])(N(F)F)N(F)F)[N+](=O)[O-],-2.37107,valid
O=C(O)CN(CCO)CCO,-3.18752,valid
CNS(=O)(=O)c1cc(S(=O)(=O)NC)c(Cl)cc1N,-3.4624,valid
Cc1cc(=O)n(-c2ccccc2F)c(-c2ccccc2)n1,-2.83315,valid
C=C1C(=O)N[C@H](C)C(=O)N[C@H](CC(C)C)C(=O)N[C@@H](C(=O)O)[C@H](C)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](/C=C/C(C)=C/[C@H](C)[C@H](Cc2ccccc2)OC)[C@H](C)C(=O)N[C@@H](C(=O)O)CCC(=O)N1C,1.48812,valid
O=C(O)COc1ccc(C(=O)c2cccs2)c(Cl)c1Cl,-2.50243,valid
O=C([O-])CN(CCN(CCN(CC(=O)O)CC(=O)O)CC(=O)O)CC(=O)O.[Na+],-2.59106,valid
C1CCNC1.C1CCNC1.[Cl-].[Cl-].[Pt+2],-1.85733,valid
CCOP(=S)(OCC)SCCSCC,-0.740363,valid
O=C(/C=N/N1CCCNC1=O)c1ccc([N+](=O)[O-])o1,-3.04139,valid
NC1CC2CCC1C2.NC1CC2CCC1C2.[Cl-].[Cl-].[Pt+2],-2.82607,valid
CCc1cccc[n+]1C(=O)Cc1ccc(-c2ccc(CC(=O)[n+]3ccccc3CC)cc2)cc1.[Br-].[Br-],-0.477121,valid
c1ccc(-c2ccccn2)nc1,-2.30103,valid
c1ccc2c(c1)CCC(CN1CCN(CC3CCc4ccccc4O3)CC1)O2,-2.33244,valid
Cc1nccc(=O)n1-c1c(Cl)cccc1Cl,-2,valid
COc1ccccc1N1CCN(CCCN(c2ccccc2)c2ccccc2)CC1.Cl.Cl,-2.69897,valid
C[NH+](C)CCCn1c2c(c3cc(F)ccc31)CCCC2.O=C([O-])C(=O)O,-2.17609,valid
C1COCCO1,-2.89763,valid
C(CN1CCN2Cc3[nH]c4ccccc4c3CC2C1)=C(c1ccccc1)c1ccccc1,-2.90309,valid
N/C(Cc1ccccc1)=N\c1ccccc1,-1.91645,valid
C=CCNc1nc2c(c(=O)n(C)c(=O)n2C)n1CC(O)CO,-2.81624,valid
CC[NH+](CC)CCn1c2c(c3cc(Cl)ccc31)CCCC2.O=C([O-])C(=O)O,-2,valid
O=C1NCCN1/N=C/c1ccc([N+](=O)[O-])o1,-3,valid
NC1CCCCC1.NC1CCCCC1.[Cl-].[Cl-].[Cl-].[Cl-].[Pt+4],-2.27875,valid
O=c1c2ccccc2nc(CNC[C@@](O)(CO)c2ccc([N+](=O)[O-])cc2)n1-c1ccc(Br)cc1,-1.74036,valid
N[C@@H](CS/C(Cl)=C/Cl)C(=O)O,-1.65321,valid
C[C@H]1[C@@H](OS(=O)(=O)O)C[C@@H]2C[C@H]([C@H](O)c3cc(=O)[nH]c(=O)[nH]3)N=C3NC[C@H]1N32,-0.322219,valid
CCCC(=O)O[C@]1(C(=O)CO)CC[C@H]2[C@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3[C@@H](O)C[C@]21C,-3.19033,valid
CC(C)CN(CCCl)CCCl.Cl,-0.447158,valid
NC1CCCC1.NC1CCCC1.[Cl-].[Cl-].[Pt+2],-2.25527,valid
Fc1ccc2c(c1)c1ccccc1n2CC[NH+]1CCCC1.O=C([O-])C(=O)O,-2.30103,valid
O=C(CI)Nc1ccc(C(=O)O)c(O)c1,-1.89209,valid
O=C1OC(CN2CCOCC2)CN1/N=C/c1ccc([N+](=O)[O-])o1,-3,valid
NC1CCC1.NC1CCC1.[Cl-].[Cl-].[Pt+2],-2.39794,valid
CN(C)C[C@@H](O)c1cn(C)c2ccccc12,-2.87157,valid
C[N+](C)(C)CC(=O)N/N=C/c1ccc([N+](=O)[O-])o1.[Cl-],-2.64345,valid
OC1CCC(N[Pt](Cl)(Cl)NC2CCC(O)CC2)CC1,-2.99564,valid
CCCCOC(=O)c1ccccc1C(=O)OCCOCCOC(=O)c1ccccc1C(=O)OCCCC,-3.92428,valid
CC[N+](CC)(CC)CC,-1.77815,valid
NC1CCCCCC1.NC1CCCCCC1.[Cl-].[Cl-].[Pt+2],-2.79588,valid
Cc1[nH]c2ccccc2c1C(=O)C(=O)N(C)C,-3,valid
